Model,Accuracy,Precision,Recall,F1
Decision Tree,0.7929,0.32579256820128205,0.3330496169418755,0.3021342629605061
Gradient Boosting,0.8013,0.4893356895957676,0.3337358774186045,0.29744195081340336
Logistic Regression,0.8012,0.2670666666666667,0.3333333333333333,0.296543045377156
Random Forest,0.7989,0.2855060515243008,0.332556905259477,0.29653748591726864
