Feature,Importance
cost_per_day,0.22330858379487628
Shipping_Cost,0.1763360817907675
order_dayofweek,0.09841842430537219
processing_time,0.08490282623931852
order_year,0.07251975910992937
ship_month,0.058166283162021014
order_month,0.05342189775498562
Delivery_Days,0.026485914378039235
Product_Category_enc,0.02380825857497604
Customer_Region_enc,0.023162916386976935
Cat_Grocery,0.022794150065995084
Cat_Electronics,0.016186357116090202
is_weekend_order,0.01562789956388939
quarter,0.014926882826856138
Cat_Fashion,0.013457817951247304
